Product Name,Price (PKR),Product Link,Image URL
consumer,N/A,https://www.dvago.pk/p/canbebe-junior-28p,/_next/image?url=https%3A%2F%2Fdvago-assets.s3.ap-southeast-1.amazonaws.com%2FProductsImages%2F19968.png&w=1920&q=50
consumer,N/A,https://www.dvago.pk/p/canbebe-extra-large-comfort-dry-diapers-pack-of-5,/_next/image?url=https%3A%2F%2Fdvago-assets.s3.ap-southeast-1.amazonaws.com%2FProductsImages%2F00311-1.jpg&w=1920&q=50
consumer,N/A,https://www.dvago.pk/p/canbebe-extra-large-comfort-dry-diapers-pack-of-24,/_next/image?url=https%3A%2F%2Fdvago-assets.s3.ap-southeast-1.amazonaws.com%2FProductsImages%2F00323.webp&w=1920&q=50
consumer,N/A,https://www.dvago.pk/p/pampers-jumbopack-size5-junior-22pcs,/_next/image?url=https%3A%2F%2Fdvago-assets.s3.ap-southeast-1.amazonaws.com%2Fdvago-products-images%2Fpampers-jumbopack-size5-junior-22pcs.webp&w=1920&q=50
consumer,N/A,https://www.dvago.pk/p/canbebe-junior-46pcs,/_next/image?url=https%3A%2F%2Fdvago-assets.s3.ap-southeast-1.amazonaws.com%2Fdvago-products-images%2Fcanbebe-junior-46pcs.webp&w=1920&q=50
consumer,N/A,https://www.dvago.pk/p/molfix-baby-diapers-e-large-38s-jumbo,/_next/image?url=https%3A%2F%2Fdvago-assets.s3.ap-southeast-1.amazonaws.com%2Fdvago-products-images%2Fmolfix-baby-diapers-e-large-38s-jumbo.webp&w=1920&q=50
health care,N/A,https://www.dvago.pk/p/ensure-powder-chocolate-400g,/_next/image?url=https%3A%2F%2Fdvago-assets.s3.ap-southeast-1.amazonaws.com%2FProductsImages%2F10187.jpg&w=1920&q=50
consumer,N/A,https://www.dvago.pk/p/similac-total-comfort-3-360g,/_next/image?url=https%3A%2F%2Fdvago-assets.s3.ap-southeast-1.amazonaws.com%2Fdvago-products-images%2Fsimilac-total-comfort-3-360g.webp&w=1920&q=50
health care,N/A,https://www.dvago.pk/p/accu-chek-instant-strips,/_next/image?url=https%3A%2F%2Fdvago-assets.s3.ap-southeast-1.amazonaws.com%2FProductsImages%2F09270.webp&w=1920&q=50
consumer,N/A,https://www.dvago.pk/p/nestle-lactogen-2-800g-bib,/_next/image?url=https%3A%2F%2Fdvago-assets.s3.ap-southeast-1.amazonaws.com%2FProductsImages%2F03194.jpg&w=1920&q=50
