Product Name,Price (PKR),Product Link,Image URL
Samsung M 32 Inch Smart Android WiFi Full HD LED T...,"Rs 48,999",https://homeshopping.pk/products/Samsung-M-32-Inch-Smart-Android-WiFi-Full-HD-LED-TV.html,https://cdn.homeshopping.pk/product_images/h/149/my-hdtv-n4000-us-ua32n4003akxxm-frontblack-219311925__82074_thumb.jpg
Samsung M 40 Inch Smart Android WiFi 4K Led TV,"Rs 69,999",https://homeshopping.pk/products/Samsung-M-40-Inch-Smart-Android-WiFi-4K-Led-TV.html,https://cdn.homeshopping.pk/product_images/x/021/ezgif.com-gif-maker_%288%29__40192_thumb.jpg
Samsung M 55 inch Smart Android WiFi 4K Led TV,"Rs 99,999",https://homeshopping.pk/products/Samsung-M-55-inch-Smart-Android-WiFi-4K-Led-TV.html,https://cdn.homeshopping.pk/product_images/b/429/ezgif.com-gif-maker_%289%29__42295_thumb.jpg
Samsung M 65 Inch Smart Android WiFi 4K Led TV ( R...,"Rs 194,999",https://homeshopping.pk/products/Samsung-M-65-Inch-Smart-Android-WiFi-4K-Led-TV.html,https://cdn.homeshopping.pk/product_images/m/386/Untitled__81510_thumb.jpg
Sony G 60 Inches Smart Android WiFi 4K Led TV,"Rs 145,999",https://homeshopping.pk/products/Sony-G-60-Inches-Smart-Android-Led-TV-Price-in-Pakistan.html,https://cdn.homeshopping.pk/product_images/o/704/pk-qled-q60r-qa82q60rarxmm-frontblack-164342645__20909_thumb.jpg
Itel Extra Bass S51 Bluetooth Speaker RGB LED Port...,"Rs 5,699",https://homeshopping.pk/products/Itel-Extra-Bass-S51-Bluetooth-Speaker-Price-In-Pakistan.html,https://cdn.homeshopping.pk/product_images/y/876/IBS-51-pic-2__75308_thumb.png
Infinix 55x5 55 Inch Smart Android 4K UHD LED TV W...,"Rs 106,999",https://homeshopping.pk/products/Infinix-55x5-Smart-Android-LED-TV-Price-in-Pakistan.html,https://cdn.homeshopping.pk/product_images/j/413/lg_PHP7AuY7Io1wya1ZxG75Jusm7nEsmWYKPqV8Zgrm__87465_thumb.jpg
Sony HT-S500RF 5.1ch Home Cinema Soundbar System B...,"Rs 130,999",https://homeshopping.pk/products/Sony-HTS500RF-Cinema-Soundbar-System-Bluetooth-Price-in-Pakistan.html,https://cdn.homeshopping.pk/product_images/o/972/hzut3r52r-EEZEPC__88659_thumb.png
Mackie Thump Up GO 8 Portable Speaker,"Rs 179,049",https://homeshopping.pk/products/Mackie-Thump-Up-GO-8-Portable-Speaker-Price-in-Pakistan.html,https://cdn.homeshopping.pk/product_images/l/230/61KjTwzjJEL._AC_SX679___63097_thumb.jpg
W-KING D8 50W Wireless Bluetooth Speakers with Dee...,"Rs 24,499",https://homeshopping.pk/products/WKING-D8-50W-Wireless-Bluetooth-Speaker-Price-in-Pakistan.html,https://cdn.homeshopping.pk/product_images/u/721/Buy-D8-Mini-Wireless-Bluetooth-Speaker-in-Pakistan-at-Dab-Lew-Tech-1-510x510__44874_thumb.jpg
