Title,Price,Old Price,Discount,Image URL
HS-852 Soft Medicated Slippers Ultimate Comfort for Every Step,"Rs. 1,998","Rs. 3,149",37%,https://www.hamzastore.pk/images/product_gallery/md_1710504163_852-BLACK.JPG
Rabito Powerful Scented Tablet 300Flush Shot Each Tablet,Rs. 299,Rs. 399,25%,https://www.hamzastore.pk/images/product_gallery/md_1715002128_1698658915_WhatsApp_Image_2023-10-28_at_5_45_03_PM.jpeg
Pack of 5 Battery Powered LED Under Cabinet Light led Touch,Rs. 949,"Rs. 1,710",45%,https://www.hamzastore.pk/images/product_gallery/md_1664203988_asdsfsfz.jpg
Multi-effect 4 In 1 Eyeliner Eyebrow Pencil Contour Pen Long Lasting Waterproof 4 in 1 pencil makeup,"Rs. 1,799","Rs. 3,000",40%,https://www.hamzastore.pk/images/product_gallery/md_1711898420_1706264867_eaefe97360587c371d89305c68ab371a.jpg
Pack of 4 Silicone Sponge Dish Washing Scrubber,Rs. 474,Rs. 730,35%,https://www.hamzastore.pk/images/product_gallery/md_1612438664_sponge.jpg
New Snap Mouse Trap,Rs. 459,Rs. 599,23%,https://www.hamzastore.pk/images/product_gallery/1709384285_f3a4fe0f26596c7eb61645c8dc3f15eb_large.webp
Pack of 4 Child safety lock,Rs. 428,Rs. 979,56%,https://www.hamzastore.pk/images/product_gallery/md_1612442750_image.jpg
Professional video Microphone kit with Tripod Stand and LED Light,"Rs. 2,499","Rs. 2,999",17%,https://www.hamzastore.pk/images/product_gallery/md_1725119110_1af59f2e4892f09e0f33245358968fa5c3d04bdb.jpeg
Ultra-Compact 1500mAh Keychain Emergency Charger With Type-C,Rs. 899,"Rs. 1,299",31%,https://www.hamzastore.pk/images/product_gallery/md_1725109688_ererwdewd.jpg
"7-in-1 Computer, Earbud, Mobile Cleaning Kit",Rs. 849,Rs. 999,15%,https://www.hamzastore.pk/images/product_gallery/md_1721491233_7-in-1-clean-pen-phone-tablet-laptop-tv-screen-clean-tool-cleaner-keycap-puller-kit-computer-keyboard-cleaner-brush-24588-120.jpg
18 in 1 Gadgets Cleaning Tool Set,"Rs. 1,999","Rs. 2,499",20%,https://www.hamzastore.pk/images/product_gallery/1721305353_8971783021631626116.webp
12pcs/set Silicone Anti-Dust Plug Cover Stopper Laptop USB Dust,Rs. 299,Rs. 399,25%,https://www.hamzastore.pk/images/product_gallery/md_1718465931_7383cdfe1e371e327fb2402d7d502a02.jpg
Mini LED Portable Keychain Flashlight Multifunction COB Work Light USB Rechargeable Strong Magnet Outdoor Camping Lantern,Rs. 499,Rs. 699,29%,https://www.hamzastore.pk/images/product_gallery/md_1718378170_1704797408_download_(1).jpg
